words	points
sqlite	1306
ssh	1307
ssl	1308
sss	1309
sssd	1310
sssdconfig	1311
standard	1312
started	1313
startup	1314
status	1315
step	1316
stix	1317
storable	1318
storage	1319
strace	1320
stream	1321
streaming	1322
submod	1323
subprocess32	1324
sudo	1325
supplicant	1326
sushi	1327
svn2451	1328
swap	1329
symbolic	1330
symbols	1331
synaptics	1332
sync	1333
sysinit	1334
sysstat	1335
system	1336
systemd	1337
systemtap	1338
sysv	1339
sysvinit	1340
t1435	1341
tab	1342
table	1343
taglib	1344
tags	1345
tagsoup	1346
tamil	1347
tar	1348
targetcli	1349
targeted	1350
tcp	1351
tcpdump	1352
tcpreplay	1353
tcsh	1354
team	1355
teamd	1356
telepathy	1357
telugu	1358
temp	1359
terminal	1360
termreadkey	1361
tevent	1362
text	1363
thai	1364
theater	1365
theme	1366
themes	1367
thread	1368
threads	1369
tickpolicy	1370
tigervnc	1371
time	1372
tiny	1373
token	1374
tool	1375
tools	1376
top	1377
totem	1378
traceroute	1379
tracker	1380
trousers	1381
TRUE	1382
trust	1383
ttmkfdir	1384
tui	1385
tuned	1386
turbo	1387
tweak	1388
twisted	1389
two	1390
type	1391
type1	1392
tzdata	1393
ucs	1394
udev	1395
udisks2	1396
ufw	1397
ugly	1398
ui	1399
uming	1400
unbound	1401
unknown	1402
unoconv	1403
unzip	1404
update	1405
updated	1406
updater	1407
updating	1408
upower	1409
uptime	1410
ure	1411
ureport	1412
urlgrabber	1413
urllib3	1414
urw	1415
urwid	1416
us	1417
usage	1418
usb	1419
usbmuxd	1420
usbredir	1421
usbutils	1422
user	1423
usermode	1424
username	1425
ustr	1426
utf16	1427
util	1428
utility	1429
utils	1430
v4l	1431
vconfig	1432
vdagent	1433
vdo	1434
vea	1435
verodin	1436
version	1437
versionlock	1438
vesa	1439
vga	1440
video	1441
viewer	1442
vim	1443
vinagre	1444
vino	1445
virbr0	1446
virbr1	1447
virt	1448
vlgothic	1449
vm	1450
vmcore	1451
vmdk	1452
vmmouse	1453
vmware	1454
vna	1455
vnc	1456
vnc2	1457
vnet0	1458
vnet1	1459
vnet2	1460
void	1461
volume	1462
vorbis	1463
vte	1464
vte291	1465
wacom	1466
waree	1467
wavpack	1468
wayland	1469
weather	1470
web	1471
webkitgtk3	1472
webkitgtk4	1473
webrtc	1474
werkzeug	1475
wget	1476
what	1477
wheel	1478
which	1479
widgets	1480
wifi	1481
win10	1482
win7	1483
window	1484
windows	1485
windowspe	1486
with	1487
wm	1488
wodim	1489
words	1490
workstation	1491
wpa	1492
wqy	1493
wrappers	1494
writer	1495
wvdial	1496
wwan	1497
x11	1498
x64	1499
x86	1500
xauth	1501
xcb	1502
xdg	1503
xfsdump	1504
xfsprogs	1505
xim	1506
xinit	1507
xkb	1508
xkeyboard	1509
xlators	1510
xml	1511
xmlrpc	1512
xmlsec1	1513
xorg	1514
xsession	1515
xsl	1516
xslt	1517
xsltfilter	1518
xvattr	1519
xz	1520
yajl	1521
yama	1522
yelp	1523
yubico	1524
yum	1525
z003	1526
zenhei	1527
zenity	1528
zip	1529
zlib	1530
zone	1531
zope	1532
